 Time:12:26.219 N:5923 E:0 F:0 I:0
  TTestTypes Time:00.000 N:15 E:0 F:0 I:0
  TTestCssTokens Time:00.000 N:2 E:0 F:0 I:0
  TTestCssLexer Time:00.000 N:12 E:0 F:0 I:0
  TTestCssParser Time:00.000 N:16 E:0 F:0 I:0
  TTestCssValuesColors Time:00.000 N:9 E:0 F:0 I:0
  TTestCssValuesEval Time:00.000 N:9 E:0 F:0 I:0
  TTestCssValuesPhase0 Time:00.000 N:5 E:0 F:0 I:0
  TTestDensityTokens Time:00.484 N:5 E:0 F:0 I:0
  TTestStyleMerge Time:00.000 N:4 E:0 F:0 I:0
  TTestStyleMode Time:00.460 N:5 E:0 F:0 I:0
  TTestStylePhase0 Time:00.389 N:4 E:0 F:0 I:0
  TTestStyleLoad Time:01.413 N:9 E:0 F:0 I:0
  TTestStylePropertyCascade Time:00.775 N:8 E:0 F:0 I:0
  TTestStyleImport Time:00.528 N:5 E:0 F:0 I:0
  TTestStyleOverride Time:00.696 N:7 E:0 F:0 I:0
  TTestStyleResolve Time:00.931 N:8 E:0 F:0 I:0
  TTestStyleShadow Time:00.172 N:2 E:0 F:0 I:0
  TTestStylePadding Time:00.199 N:2 E:0 F:0 I:0
  TTestStyleBorderStyle Time:00.226 N:2 E:0 F:0 I:0
  TTestStyleBorderShorthand Time:00.284 N:3 E:0 F:0 I:0
  TTestStyleBorderRadius Time:00.273 N:3 E:0 F:0 I:0
  TTestStyleOutline Time:00.262 N:3 E:0 F:0 I:0
  TAccentTest Time:01.123 N:12 E:0 F:0 I:0
  TGradientTest Time:00.652 N:8 E:0 F:0 I:0
  TBevelBorderTest Time:00.716 N:10 E:0 F:0 I:0
  TNineSliceTest Time:00.188 N:3 E:0 F:0 I:0
  TMetricTest Time:04.257 N:21 E:0 F:0 I:0
  TGlyphTest Time:00.791 N:10 E:0 F:0 I:0
  TSkinsTest Time:04.785 N:1 E:0 F:0 I:0
  TFontCascadeTest Time:01.470 N:10 E:0 F:0 I:0
  TDarkTextTest Time:02.702 N:2 E:0 F:0 I:0
  TPainterTest Time:00.234 N:27 E:0 F:0 I:0
  TControllerTest Time:00.660 N:9 E:0 F:0 I:0
  TControllerHotReloadTest Time:00.601 N:6 E:0 F:0 I:0
  TBaseTest Time:00.111 N:8 E:0 F:0 I:0
